price_usd,income_segment,seasonality_index,product_category,promotion_type,competitor_price_usd,economic_indicator,advertising_spend_usd,distribution_channels,product_lifecycle,weather_impact,demand_units
137.43427424203898,Low,1.2950319653090285,Furniture,Bundle,148.82626370371173,Recession,26821.978511330653,3.0,Growth,Low,9386.0
181.47996578078332,Low,1.3454610662533986,Furniture,None,122.13056013958571,Recession,47118.69720997082,1.0,Decline,High,3027.0
12.966253750667422,Upper Middle,0.6750782697327977,Electronics,Bundle,123.95032178151534,Recession,28501.064263977638,1.0,Maturity,Medium,3803.0
69.1553754197065,Middle,0.888574903686079,Food,Discount,74.37288188788501,Recession,42178.71717695022,4.0,Maturity,None,2348.0
35.819000014637055,Middle,0.9825811854094724,Food,BOGO,47.24053131743393,Stagnation,42965.406408234136,4.0,Introduction,Low,
20.78663597868026,High,1.0127634884807675,,Discount,11.176919364190898,,10319.937446563848,4.0,Growth,Medium,1442.0
48.10811851473963,Upper Middle,0.6221010164894913,,Discount,61.48021378357411,Growth,26869.09789205651,2.0,Maturity,High,8361.0
106.10430709176842,High,0.9656924325446516,Furniture,None,126.32263599140487,Growth,3522.169154140814,3.0,Growth,Low,8600.0
118.21081580712858,Low,0.9223372974392211,Clothing,BOGO,183.40505957564756,Recession,6987.408787108961,1.0,Decline,High,5593.0
24.234472257958526,Middle,0.6448441677278417,Books,Bundle,177.12433579450013,Recession,20240.200547934634,4.0,Maturity,Low,1774.0
182.66969988494307,Low,0.7965116540062769,Food,BOGO,169.41801584736064,Recession,3398.2376543846394,4.0,Growth,Low,9528.0
46.706054547661374,High,1.2078092870285968,Electronics,Bundle,41.65533635111217,Growth,6274.268824198559,3.0,Decline,Medium,6092.0
152.45679116847492,Middle,0.9013476054777247,Furniture,None,151.14546330219267,Boom,11198.305216206534,4.0,Growth,None,1385.0
134.4310946061436,,1.3215031896813167,Furniture,Discount,53.7943141030229,Stagnation,35795.112054787794,,Decline,Medium,4338.0
159.52540701690225,High,0.8013746710947075,Electronics,,75.31288278715897,Stagnation,5726.9296019468065,3.0,Decline,Low,2474.0
92.92543224726816,Upper Middle,1.0562047480595913,Furniture,Bundle,164.11626528796504,Growth,38826.752304868074,4.0,Maturity,Low,6316.0
140.56310519357737,Low,1.3357617106413042,Furniture,Bundle,,Stagnation,27969.457276584886,3.0,Maturity,High,2939.0
177.61556215596485,High,1.0355905463322022,Books,Bundle,139.39550065272294,Stagnation,49190.59338873449,1.0,Growth,Low,9721.0
30.219507225117017,Upper Middle,1.499379316942084,Electronics,BOGO,150.10026499836104,Growth,3855.745386157977,4.0,Growth,High,9674.0
126.00795247177234,Middle,1.082720789267826,Books,BOGO,212.59520070159064,Boom,39993.33620655211,1.0,Growth,Low,5824.0
105.10882879392996,Low,0.7801760139105887,Food,Bundle,38.57148750843636,Growth,23536.805651039682,1.0,Decline,None,501.0
92.50041535505136,Middle,1.2643896634486966,Electronics,None,42.60261035215737,Growth,2166.583526059579,4.0,Growth,None,3134.0
